No,Nama_Dosen,Prodi,Fakultas,Profile_URL_SINTA,Profile_URL_GScholar,Sinta_Score,Sinta_Score_3Yr,Affil_Score,Affil_Score_3Yr,Total_Publikasi_GS,Sitasi_GS,h_index_GS,i10_index_GS,Pub_2020,Pub_2021,Pub_2022,Pub_2023,Pub_2024,Pub_2025,Pub_2026,Kategori_Kinerja,Anomali,Keterangan_Anomali
1102,WEMPY BANGA,Unknown,,https://sinta.kemdiktisaintek.go.id/authors/profile/6172040,,112,0,5082890,0,8,160,5,2,0,0,0,0,0,0,0,Rendah,Diperbaiki,Sinta Profile Rescued
1103,GAMSIR,Ilmu Ekonomi (S3),Fakultas Ekonomi dan Bisnis,https://sinta.kemdiktisaintek.go.id/authors/profile/5980416,https://scholar.google.com/citations?user=DKz23ckAAAAJ,80,43,248446,13915,8,86,3,2,12,9,11,11,11,5,4,Rendah,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
1104,HARTATI,Unknown,Fakultas Lainnya,https://sinta.kemdiktisaintek.go.id/authors/profile/6025913,https://scholar.google.com/citations?user=B0Vr49AAAAAJ,4175,968,0,0,8,41,3,2,0,4,9,5,16,6,0,Berpengaruh,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
1105,DJAFAR MEY,Unknown,,https://sinta.kemdiktisaintek.go.id/authors/profile/5979489,,43,0,1784120,0,8,35,3,1,0,0,0,0,0,0,0,Rendah,Diperbaiki,Sinta Profile Rescued
1106,SULFA,Unknown,,https://sinta.kemdiktisaintek.go.id/authors/profile/6716651,,711,332,0,0,8,25,3,0,0,0,0,0,0,0,0,Produktif,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. [C] Inaktif: Profil Tidak Ditemukan / 0 Publikasi. 
1107,AHMAD MUBARAQ,Unknown,,https://sinta.kemdiktisaintek.go.id/authors/profile/6932172,,16,1,779516,50629,8,22,2,1,0,0,0,0,0,0,0,Buruk,Diperbaiki,Sinta Profile Rescued
1108,MUHAMAT ARIF AFANDI,Ilmu Komunikasi (S1),Fakultas Ilmu Sosial dan Ilmu Politik,https://sinta.kemdiktisaintek.go.id/authors/profile/6932812,https://scholar.google.com/citations?user=Xx3F3IEAAAAJ,42,33,138738,138738,8,22,1,1,0,0,0,0,0,20,2,Rendah,Tidak,
1109,ASHAERYANTO,Kedokteran (S1),Fakultas Lainnya,https://sinta.kemdiktisaintek.go.id/authors/profile/6678422,https://scholar.google.com/citations?user=bDGCoMkAAAAJ,16,1,705230,594,8,20,2,0,2,1,4,7,1,3,1,Buruk,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
1110,CITRA YURNIDAR SYAH,Teknik Mesin (D3),Fakultas Teknik,https://sinta.kemdiktisaintek.go.id/authors/profile/6988101,https://scholar.google.com/citations?user=5rT3l4cAAAAJ,9,5,341250,189347,8,19,3,0,0,0,0,0,0,0,0,Buruk,Tidak,
1111,"ALIASIS MARUKA, S.PD., M.PD",Unknown,Fakultas Lainnya,https://sinta.kemdiktisaintek.go.id/authors/profile/6754150,https://scholar.google.com/citations?user=-h7mla0AAAAJ,13,7,403861,139622,8,17,3,0,0,0,0,0,0,0,0,Buruk,Tidak,
1112,AHMAD FIRMAN TARTA,Ilmu Hukum (S1),Fakultas Hukum,https://sinta.kemdiktisaintek.go.id/authors/profile/6692591,https://scholar.google.com/citations?user=5ogFSdwAAAAJ,17,10,166692,2811,8,13,2,0,0,0,0,1,4,6,2,Buruk,Tidak,
1113,MUAMMAR AKBAR AL QHURAISSY,Ilmu Kesejahteraan Sosial (S1),Fakultas Lainnya,https://sinta.kemdiktisaintek.go.id/authors/profile/6962059,https://scholar.google.com/citations?user=uZq2kMcAAAAJ,50,24,4852,4852,8,12,1,1,0,0,0,0,0,0,0,Rendah,Tidak,
1114,LA ODE MUHAMMAD ARFAN SAMRIN,Akuntansi (S1),Fakultas Ekonomi dan Bisnis,https://sinta.kemdiktisaintek.go.id/authors/profile/6944909,https://scholar.google.com/citations?user=5ywwNJEAAAAJ,6,6,325934,325934,8,11,2,0,0,0,0,0,4,3,4,Buruk,Tidak,
1115,IRMAWANTI,Ilmu Komunikasi (S1),Fakultas Ilmu Sosial dan Ilmu Politik,https://sinta.kemdiktisaintek.go.id/authors/profile/6767989,https://scholar.google.com/citations?user=Ke3uWCIAAAAJ,60,33,1186260,706527,8,9,2,0,0,0,0,0,0,0,0,Rendah,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
1116,DEWINTA NUR ALVIONITA,Unknown,Fakultas Lainnya,https://sinta.kemdiktisaintek.go.id/authors/profile/6839243,https://scholar.google.com/citations?user=3j852awAAAAJ,6,3,325938,200409,8,9,2,0,0,0,1,2,1,5,0,Buruk,Tidak,
1117,EKA KURNIA SYAWALIYAH SUBAGIO,Ilmu Komunikasi (S1),Fakultas Ilmu Sosial dan Ilmu Politik,https://sinta.kemdiktisaintek.go.id/authors/profile/6968029,https://scholar.google.com/citations?user=DcVZLUMAAAAJ,2,2,88085,50641,8,9,1,0,0,0,0,0,2,3,3,Buruk,Tidak,
1118,ELIYANTI AGUS MOKODOMPIT,Manajemen (S1),,https://sinta.kemdiktisaintek.go.id/authors/profile/5984544,,97,0,3366910,0,8,8,2,0,0,0,0,0,0,0,0,Rendah,Diperbaiki,Sinta Profile Rescued
1119,IKSAN,Ilmu Hukum (S1),Fakultas Hukum,https://sinta.kemdiktisaintek.go.id/authors/profile/5976511,https://scholar.google.com/citations?user=_-Wd_JkAAAAJ,1495,547,1495,547,8,6,2,0,0,0,0,1,3,2,0,Berpengaruh,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
1120,"RIDAYAT, S.PD., M.PD",Unknown,Fakultas Lainnya,https://sinta.kemdiktisaintek.go.id/authors/profile/6653897,https://scholar.google.com/citations?user=jcHd0_8AAAAJ,342,126,0,0,8,4,1,0,0,0,0,0,0,0,0,Cukup,Tidak,
1121,NURANIAR BARIQ KINAYOH,Unknown,Fakultas Lainnya,https://sinta.kemdiktisaintek.go.id/authors/profile/6945794,https://scholar.google.com/citations?user=PmE9FJ8AAAAJ,6,2,339115,125521,8,4,1,0,0,0,0,0,0,0,0,Buruk,Tidak,
1122,SRIWANGI,Ilmu Komunikasi (S1),Fakultas Ilmu Sosial dan Ilmu Politik,https://sinta.kemdiktisaintek.go.id/authors/profile/6937523,https://scholar.google.com/citations?user=06d1r-QAAAAJ,4,3,237849,200405,8,2,1,0,0,0,0,0,0,1,1,Buruk,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
1123,HAPSA RIANTY,Arsitektur (S1),,https://sinta.kemdiktisaintek.go.id/authors/profile/6693222,,32,9,597358,152273,7,45,3,1,0,0,0,0,0,0,0,Buruk,Diperbaiki,Sinta Profile Rescued
1124,SYAIAH,Akuntansi (S1),Fakultas Ekonomi dan Bisnis,https://sinta.kemdiktisaintek.go.id/authors/profile/6902163,https://scholar.google.com/citations?user=iVQafKEAAAAJ,84,75,140025,89336,7,40,2,1,0,0,0,3,6,21,9,Rendah,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
1125,MIMING LESTARI,Ekonomi Pembangunan (S1),Fakultas Ekonomi dan Bisnis,https://sinta.kemdiktisaintek.go.id/authors/profile/6964449,https://scholar.google.com/citations?user=gzZ_m3sAAAAJ,77,64,365908,165443,7,33,2,1,4,2,5,8,6,4,3,Rendah,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
1126,YUNITA SIMATUPANG,Perpustakaan dan Ilmu Informasi (S1),Fakultas Lainnya,https://sinta.kemdiktisaintek.go.id/authors/profile/6894041,https://scholar.google.com/citations?user=ie1XiaMAAAAJ,8,5,328065,189351,7,32,4,1,0,0,2,4,4,15,7,Buruk,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
1127,LA ODE MUHAMAD IRADAT SALIHIN,Geografi (S1),Fakultas Lainnya,https://sinta.kemdiktisaintek.go.id/authors/profile/6666565,https://scholar.google.com/citations?user=meBdVP0AAAAJ,29,2,483366,1188,7,20,3,0,2,3,4,6,3,2,0,Buruk,Tidak,
1128,ASRANI,Sosiologi (S1),Fakultas Ilmu Sosial dan Ilmu Politik,https://sinta.kemdiktisaintek.go.id/authors/profile/6869286,https://scholar.google.com/citations?user=WYcYLoUAAAAJ,229,212,0,0,7,9,2,0,0,0,0,0,0,0,0,Cukup,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
1129,"INDRAWATI, S.SI., M.SC.",Teknik Geofisika (S1),Fakultas Teknik,"https://sinta.kemdiktisaintek.go.id/authors?q=INDRAWATI,+S.SI.,+M.SC.&search=1",https://scholar.google.com/citations?user=9P6dNJcAAAAJ,0,0,0,0,7,9,2,0,0,0,0,0,1,6,2,Buruk,Ya,[D] Lonjakan Tidak Wajar: 500% di Tahun 2025. 
1130,ORDIMAN LASAIMA,Bimbingan dan Konseling (S1),Fakultas Lainnya,https://sinta.kemdiktisaintek.go.id/authors/profile/6778766,https://scholar.google.com/citations?user=pzMs7VIAAAAJ,18,17,242265,204821,7,9,1,0,0,0,0,1,2,4,2,Buruk,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
1131,LA ODE MUHAMMAD ADAM NUR,Ilmu Politik (S1),Fakultas Ilmu Sosial dan Ilmu Politik,https://sinta.kemdiktisaintek.go.id/authors/profile/6932896,https://scholar.google.com/citations?user=AsRvk-4AAAAJ,6,5,301675,226787,7,8,2,0,0,0,0,0,0,5,2,Buruk,Tidak,
1132,DEPRIANUS SARLIS,Jurnalistik (S1),Fakultas Lainnya,https://sinta.kemdiktisaintek.go.id/authors/profile/6937954,https://scholar.google.com/citations?user=_A0uNk8AAAAJ,10,3,227376,101266,7,5,1,0,0,0,0,0,0,0,0,Buruk,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
1133,BAINUDIN,Unknown,Fakultas Lainnya,https://sinta.kemdiktisaintek.go.id/authors/profile/6991524,https://scholar.google.com/citations?user=oOobBgQAAAAJ,28,17,1519440,940354,7,3,1,0,0,0,0,0,2,4,0,Buruk,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
1134,LA ODE SAFARUDIN,Pendidikan Ekonomi (S1),Fakultas Keguruan dan Ilmu Pendidikan,https://sinta.kemdiktisaintek.go.id/authors/profile/6993356,https://scholar.google.com/citations?user=Gf_UtrcAAAAJ,21,15,224664,187220,7,2,1,0,0,0,0,0,0,0,0,Buruk,Tidak,
1135,FEBRIANSYAH,Ilmu Komunikasi (S1),Fakultas Ilmu Sosial dan Ilmu Politik,https://sinta.kemdiktisaintek.go.id/authors/profile/5986779,https://scholar.google.com/citations?user=FJ0257AAAAAJ,1322,602,1566,732,7,1,1,0,0,0,0,0,0,0,0,Berpengaruh,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
1136,BOI HERMAN,Geografi (S1),Fakultas Lainnya,https://sinta.kemdiktisaintek.go.id/authors/profile/6953788,https://scholar.google.com/citations?user=GrDg6VgAAAAJ,4,4,237849,237849,7,1,1,0,0,0,0,0,0,0,0,Buruk,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
1137,SABRI,Manajemen (S1),Fakultas Ekonomi dan Bisnis,https://sinta.kemdiktisaintek.go.id/authors/profile/128735,https://scholar.google.com/citations?user=gXFRtNgAAAAJ,1776,555,1797,555,7,0,0,0,0,0,0,0,0,0,0,Berpengaruh,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
1138,ELSA SEPTIANI PUTRI,Profesi Dokter (Profesi),Fakultas Lainnya,https://sinta.kemdiktisaintek.go.id/authors/profile/6968865,https://scholar.google.com/citations?user=T8GthDUAAAAJ,69,52,154081,116044,7,0,0,0,0,0,0,0,0,0,0,Rendah,Tidak,
1139,DEWA MADE ANDIKAYANA,Unknown,Fakultas Lainnya,https://sinta.kemdiktisaintek.go.id/authors/profile/6966104,https://scholar.google.com/citations?user=vOYNoukAAAAJ,25,2,213738,112332,6,76,2,1,0,3,18,27,14,11,3,Buruk,Ya,[D] Lonjakan Tidak Wajar: 500% di Tahun 2022. 
1140,NOFAL NUR,Manajemen (S1),Fakultas Ekonomi dan Bisnis,https://sinta.kemdiktisaintek.go.id/authors/profile/6681075,https://scholar.google.com/citations?user=ykzFpiEAAAAJ,122,20,571829,330,6,56,2,2,0,0,0,0,0,0,0,Rendah,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
1141,AKBAR WAHBI,Administrasi Bisnis (S1),,https://sinta.kemdiktisaintek.go.id/authors/profile/6822573,,40,35,536424,410867,6,31,2,1,0,0,0,0,0,0,0,Rendah,Diperbaiki,Sinta Profile Rescued
1142,RACHMITA DEWI SUBAEDI TOBA,Peternakan (S1),,https://sinta.kemdiktisaintek.go.id/authors/profile/6798000,,11,3,416158,101270,6,23,4,0,0,0,0,0,0,0,0,Buruk,Diperbaiki,Sinta Profile Rescued
1143,ASMARIANI,Unknown,,https://sinta.kemdiktisaintek.go.id/authors/profile/7008453,,12,2,453618,50637,6,23,3,1,0,0,0,0,0,0,0,Buruk,Diperbaiki,Sinta Profile Rescued
1144,MIFTAHULJANNAH MUSLIMIN,Pendidikan Fisika (S1),Fakultas Keguruan dan Ilmu Pendidikan,https://sinta.kemdiktisaintek.go.id/authors/profile/6971064,https://scholar.google.com/citations?user=0SgMHM8AAAAJ,15,14,162965,125521,6,16,2,1,0,0,0,0,1,10,5,Buruk,Ya,[A] Nama Duplikat: Indikasi Profil Ganda. [B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. [D] Lonjakan Tidak Wajar: 900% di Tahun 2025. 
1145,MUHAMAD NAZAR,Ilmu Hukum (S1),Fakultas Hukum,https://sinta.kemdiktisaintek.go.id/authors/profile/6835962,https://scholar.google.com/citations?user=RDBHSUUAAAAJ,48,44,366167,190009,6,14,3,0,0,0,0,0,6,5,2,Rendah,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
1146,ASTIN,Ilmu Komunikasi (S1),Fakultas Ilmu Sosial dan Ilmu Politik,https://sinta.kemdiktisaintek.go.id/authors/profile/5976088,https://scholar.google.com/citations?user=FKzTiEQAAAAJ,12440,1676,12440,1676,6,12,2,0,0,0,0,2,2,6,2,Berpengaruh,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
1147,MUHAMMAD IHWAL,Statistika (S1),,https://sinta.kemdiktisaintek.go.id/authors/profile/6951992,,15,13,865454,739933,6,10,2,0,0,0,0,0,0,0,0,Buruk,Diperbaiki,Sinta Profile Rescued
1148,LA ODE ASPIN,Arkeologi (S1),Fakultas Lainnya,https://sinta.kemdiktisaintek.go.id/authors/profile/6884755,https://scholar.google.com/citations?user=ii7tRIcAAAAJ,16,8,667208,352324,6,9,2,0,0,0,0,0,1,3,0,Buruk,Tidak,
1149,ZALUDIN,Manajemen (S1),Fakultas Ekonomi dan Bisnis,https://sinta.kemdiktisaintek.go.id/authors/profile/6024671,https://scholar.google.com/citations?user=J3KCIDIAAAAJ,1429,416,0,0,6,6,1,0,2,1,1,2,0,0,0,Berpengaruh,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
1150,VINA OLIVIA PEBRIANTY,Akuntansi (S1),Fakultas Ekonomi dan Bisnis,https://sinta.kemdiktisaintek.go.id/authors/profile/6909195,https://scholar.google.com/citations?user=A2mYLswAAAAJ,0,0,0,0,6,6,1,0,0,0,0,0,0,0,0,Buruk,Diperbaiki,Sinta Profile Rescued (Extreme Mode)
1151,VIVI HASTUTI RUFA MONGKITO,Unknown,Fakultas Lainnya,https://sinta.kemdiktisaintek.go.id/authors/profile/6671132,https://scholar.google.com/citations?user=Kbd2upoAAAAJ,58,15,335149,314,6,5,2,0,0,0,0,0,0,0,0,Rendah,Tidak,
1152,HAMDIANSAH,Bimbingan dan Konseling (S1),Fakultas Lainnya,https://sinta.kemdiktisaintek.go.id/authors/profile/6908734,https://scholar.google.com/citations?user=IvLZJEQAAAAJ,5,2,226783,125517,6,4,1,0,0,0,0,0,0,0,0,Buruk,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
1153,MUHAMAD ARZAN,Unknown,Fakultas Lainnya,https://sinta.kemdiktisaintek.go.id/authors/profile/6861709,https://scholar.google.com/citations?user=SfTZNrMAAAAJ,4,3,251038,162961,6,3,1,0,0,0,0,0,0,0,0,Buruk,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
1154,"LA ODE MUHAMMAD KAISAR DEMAQ, S.H., M.H.",Ilmu Hukum (S1),Fakultas Hukum,https://sinta.kemdiktisaintek.go.id/authors/profile/6894836,https://scholar.google.com/citations?user=t0ezZagAAAAJ,3,2,138706,101262,6,2,1,0,0,0,0,0,1,1,0,Buruk,Tidak,
1155,TRISUSILO RAHARJO,Jurnalistik (S1),Fakultas Lainnya,https://sinta.kemdiktisaintek.go.id/authors/profile/6967959,https://scholar.google.com/citations?user=JWJLj6sAAAAJ,2,1,112332,74888,6,2,1,0,0,0,0,0,0,0,0,Buruk,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
1156,WA ODE FITRIANI SARI,Pendidikan Bahasa Dan Sastra Indonesia (S1),Fakultas Keguruan dan Ilmu Pendidikan,https://sinta.kemdiktisaintek.go.id/authors/profile/6984665,https://scholar.google.com/citations?user=8DsI1lQAAAAJ,4,1,237849,50629,6,1,1,0,0,0,0,0,0,0,0,Buruk,Tidak,
1157,BOBY PUTRA PRATAMA,Unknown,Fakultas Lainnya,https://sinta.kemdiktisaintek.go.id/authors/profile/6964890,https://scholar.google.com/citations?user=AVQavEwAAAAJ,2,1,112332,37444,6,0,0,0,0,0,0,0,0,0,0,Buruk,Tidak,
1158,DEDI ERAWAN,Ilmu Tanah (S1),,https://sinta.kemdiktisaintek.go.id/authors/profile/5973956,,69,0,838209,0,5,100,3,2,0,0,0,0,0,0,0,Rendah,Diperbaiki,Sinta Profile Rescued
1159,"DR. LA SENSU, S.H., M.H",Hukum (S2),,https://sinta.kemdiktisaintek.go.id/authors/profile/6016618,,70,37,757694,12012,5,28,3,1,0,0,0,0,0,0,0,Rendah,Ya,[C] Inaktif: Profil Tidak Ditemukan / 0 Publikasi. 
1160,ANDI EKA PURNAMA PUTRI,Unknown,,https://sinta.kemdiktisaintek.go.id/authors/profile/5975187,,19,0,403113,0,5,27,3,1,0,0,0,0,0,0,0,Buruk,Diperbaiki,Sinta Profile Rescued
1161,ZAHROWATI,Hukum (S2),Fakultas Hukum,https://sinta.kemdiktisaintek.go.id/authors/profile/6667894,https://scholar.google.com/citations?user=ONf0W-sAAAAJ,63,28,174993,7612,5,11,2,0,0,0,0,0,0,0,0,Rendah,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
1162,ESTI AGESTA NURMAIDA,Agribisnis (S1),Fakultas Ekonomi dan Bisnis,https://sinta.kemdiktisaintek.go.id/authors/profile/6973394,https://scholar.google.com/citations?user=HkkZYGcAAAAJ,18,6,88089,0,5,11,2,0,0,0,0,0,0,0,0,Buruk,Tidak,
1163,AZHAR ANSI,Agroteknologi (S1),,https://sinta.kemdiktisaintek.go.id/authors/profile/5973963,,60,1,779659,594,5,10,2,0,0,0,0,0,0,0,0,Rendah,Diperbaiki,Sinta Profile Rescued
1164,MUARIFUDDIN,Sastra Inggris (S1),,https://sinta.kemdiktisaintek.go.id/authors/profile/6669850,,45,7,1223850,400818,5,10,2,0,0,0,0,0,0,0,0,Rendah,Diperbaiki,Sinta Profile Rescued
1165,EFRITA BATARAGOA,Bioteknologi (S1),Fakultas Lainnya,https://sinta.kemdiktisaintek.go.id/authors/profile/6925114,https://scholar.google.com/citations?user=LW27L9wAAAAJ,2,2,125517,125517,5,6,2,0,0,0,0,0,0,4,2,Buruk,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
1166,OKTO ASRIATNO,Unknown,Fakultas Lainnya,https://sinta.kemdiktisaintek.go.id/authors/profile/6919101,https://scholar.google.com/citations?user=2j5c2sMAAAAJ,64,51,230716,193272,5,4,1,0,0,0,0,0,1,3,0,Rendah,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
1167,LA SURIMI,Unknown,Fakultas Lainnya,https://sinta.kemdiktisaintek.go.id/authors/profile/6704688,https://scholar.google.com/citations?user=avYQcuAAAAAJ,38,24,131635,3980,5,3,1,0,0,1,1,1,0,0,0,Buruk,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
1168,ISNA,Pendidikan Sejarah (S1),Fakultas Keguruan dan Ilmu Pendidikan,https://sinta.kemdiktisaintek.go.id/authors/profile/6005600,https://scholar.google.com/citations?user=8hCFptAAAAAJ,4617,1081,4617,1081,5,2,1,0,0,0,0,0,0,1,1,Berpengaruh,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
1169,RUSDIYANA TUGY,Pendidikan Ekonomi (S1),Fakultas Keguruan dan Ilmu Pendidikan,https://sinta.kemdiktisaintek.go.id/authors/profile/6992670,https://scholar.google.com/citations?user=FyTF03UAAAAJ,7,7,74888,74888,5,1,1,0,0,0,0,0,0,0,0,Buruk,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
1170,RUSTAM,Unknown,Fakultas Lainnya,https://sinta.kemdiktisaintek.go.id/authors/profile/6735955,https://scholar.google.com/citations?user=ffZFREUAAAAJ,1391,646,1369,632,5,0,0,0,0,0,0,0,0,0,0,Berpengaruh,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
1171,HAYARI,Pendidikan Sejarah (S1),Fakultas Keguruan dan Ilmu Pendidikan,https://sinta.kemdiktisaintek.go.id/authors/profile/6036154,https://scholar.google.com/citations?user=xKXhh5AAAAAJ,20,17,192528,5308,5,0,0,0,0,0,0,0,0,0,0,Buruk,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
1172,ROSIKAH,Administrasi Bisnis (S1),,https://sinta.kemdiktisaintek.go.id/authors/profile/6013075,,48,21,285320,106987,4,153,3,1,0,0,0,0,0,0,0,Rendah,Diperbaiki,Sinta Profile Rescued
1173,SIAM,Pendidikan Bahasa Inggris (S1),Fakultas Keguruan dan Ilmu Pendidikan,https://sinta.kemdiktisaintek.go.id/authors/profile/5982805,https://scholar.google.com/citations?user=VjyG8A8AAAAJ,810,399,887,416,4,71,1,1,6,15,15,13,12,6,0,Produktif,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
1174,LAODE MUHAMMAD SYAHARTIJAN,Unknown,Fakultas Lainnya,https://sinta.kemdiktisaintek.go.id/authors/profile/6694439,https://scholar.google.com/citations?user=ny26FTgAAAAJ,8,0,176800,0,4,31,2,1,3,8,7,5,3,4,0,Buruk,Tidak,
1175,WAODE SITTI ASFIAH UDU,Kedokteran (S1),,https://sinta.kemdiktisaintek.go.id/authors/profile/6920388,,9,2,314908,88077,4,30,3,2,0,0,0,0,0,0,0,Buruk,Diperbaiki,Sinta Profile Rescued
1176,WA ODE NIRWANA SARI HALIDUN,Pendidikan Vokasional Teknik Elektronika (S1),,https://sinta.kemdiktisaintek.go.id/authors/profile/6779269,,21,16,452701,351403,4,22,2,1,0,0,0,0,0,0,0,Buruk,Diperbaiki,Sinta Profile Rescued
1177,LA ODE KAIMUDDIN,Pendidikan Guru Sekolah Dasar (S1),Fakultas Keguruan dan Ilmu Pendidikan,https://sinta.kemdiktisaintek.go.id/authors/profile/6779600,https://scholar.google.com/citations?user=B8Og6FsAAAAJ,8,0,189395,0,4,21,2,1,0,1,1,9,4,5,0,Buruk,Ya,[D] Lonjakan Tidak Wajar: 800% di Tahun 2023. 
1178,KASMAN,Pendidikan Vokasional Teknik Elektronika (S1),Fakultas Keguruan dan Ilmu Pendidikan,https://sinta.kemdiktisaintek.go.id/authors/profile/6023540,https://scholar.google.com/citations?user=22CNkA4AAAAJ,1614,548,954,248,4,13,2,0,0,0,0,0,0,0,0,Berpengaruh,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
1179,WA ODE FATMAWATI,Pendidikan Bahasa Inggris (S1),,https://sinta.kemdiktisaintek.go.id/authors/profile/6667758,,75,7,1370480,401408,4,7,2,0,0,0,0,0,0,0,0,Rendah,Diperbaiki,Sinta Profile Rescued
1180,DAMSIR D,Pendidikan Guru Pendidikan Anak Usia Dini (S1),Fakultas Keguruan dan Ilmu Pendidikan,https://sinta.kemdiktisaintek.go.id/authors/profile/6779674,https://scholar.google.com/citations?user=BBj5Ol0AAAAJ,17,14,217998,41844,4,6,2,0,0,0,0,0,0,0,0,Buruk,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
1181,MURIADIN,Teknik Sipil (S1),Fakultas Teknik,https://sinta.kemdiktisaintek.go.id/authors/profile/6769720,https://scholar.google.com/citations?user=GkD6f08AAAAJ,9,6,164868,1903,4,6,1,0,0,0,0,0,0,0,0,Buruk,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
1182,FARDAN REZKIAWAN FAIDA,Sastra Inggris (S1),Fakultas Lainnya,https://sinta.kemdiktisaintek.go.id/authors/profile/6811131,https://scholar.google.com/citations?user=X8kRJ2AAAAAJ,9,8,163593,126149,4,3,1,0,0,0,0,0,0,0,0,Buruk,Tidak,
1183,THEO ALIF WAHYU SABUBU,Ilmu Hukum (S1),,https://sinta.kemdiktisaintek.go.id/authors/profile/6971083,,55,32,259512,118993,3,53,2,1,0,0,0,0,0,0,0,Rendah,Diperbaiki,Sinta Profile Rescued
1184,ISMAIL SALEH,Fisika (S1),Fakultas MIPA,https://sinta.kemdiktisaintek.go.id/authors/profile/131364,https://scholar.google.com/citations?user=sCRjwdoAAAAJ,644,202,0,0,3,39,3,1,3,2,2,11,2,5,3,Produktif,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. [D] Lonjakan Tidak Wajar: 450% di Tahun 2023. 
1185,REKSON SOLO LIMBA,Unknown,,https://sinta.kemdiktisaintek.go.id/authors/profile/6028168,,7,0,138770,0,3,37,2,2,0,0,0,0,0,0,0,Buruk,Diperbaiki,Sinta Profile Rescued
1186,ASTRI YUNITA,Psikologi (S1),Fakultas Lainnya,https://sinta.kemdiktisaintek.go.id/authors/profile/6907135,https://scholar.google.com/citations?user=XIXsSUcAAAAJ,96,51,141268,140009,3,32,2,1,0,0,1,6,7,14,4,Rendah,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. [D] Lonjakan Tidak Wajar: 500% di Tahun 2023. 
1187,LA ODE MUHARRAM,Unknown,,https://sinta.kemdiktisaintek.go.id/authors/profile/6776895,,6,0,189371,0,3,21,1,1,0,0,0,0,0,0,0,Buruk,Diperbaiki,Sinta Profile Rescued
1188,RHENISLAWATY,Kedokteran (S1),,https://sinta.kemdiktisaintek.go.id/authors/profile/5972746,,23,0,189685,0,3,20,2,1,0,0,0,0,0,0,0,Buruk,Diperbaiki,Sinta Profile Rescued
1189,LA ODE MUHAMMAD UMRAN,Jurnalistik (S1),Fakultas Lainnya,https://sinta.kemdiktisaintek.go.id/authors/profile/6027699,https://scholar.google.com/citations?user=g4MM9VQAAAAJ,71,38,150802,522,3,8,2,0,0,0,0,0,0,0,0,Rendah,Tidak,
